"","country.id","year","country.name","life.expectancy","fertility.rate","population","GDP.per.capita.Current.USD","region.value","incomeLevel.value"
"1","1A",1989,"Arab World",62.7800368501279,5.21685262624879,215324594.4,1779.6959318479,"Aggregates","Aggregates"
"2","1A",2010,"Arab World",70.3766889750456,3.20772884718551,347672135,5716.03679640816,"Aggregates","Aggregates"
"3","1A",1980,"Arab World",57.0694487988003,6.24799864459446,166054271,2495.53607740938,"Aggregates","Aggregates"
"4","1A",1986,"Arab World",60.844523343307,5.66080885841519,198622106.579447,1774.63855140109,"Aggregates","Aggregates"
"5","1A",1969,"Arab World",NA,NA,119075756,300.634872567534,"Aggregates","Aggregates"
"6","1A",1996,"Arab World",66.1153909768588,4.23375579867103,256942408,2168.63333024363,"Aggregates","Aggregates"
"7","1A",2008,"Arab World",69.85694671677,3.30801271389243,333100677,5964.76162474283,"Aggregates","Aggregates"
"8","1A",1998,"Arab World",66.9007624974776,4.00683495887658,267545438,2151.14530244474,"Aggregates","Aggregates"
"9","1A",1978,"Arab World",NA,NA,155525861.353867,1504.51527320389,"Aggregates","Aggregates"
"10","1A",1960,"Arab World",46.0210127835639,6.90718635575963,93145751,NA,"Aggregates","Aggregates"
"11","1A",1968,"Arab World",NA,NA,115757351.6,280.386303960441,"Aggregates","Aggregates"
"12","1A",1967,"Arab World",NA,NA,112518348.2,NA,"Aggregates","Aggregates"
"13","1A",1966,"Arab World",NA,NA,109388236.8,NA,"Aggregates","Aggregates"
"14","1A",1987,"Arab World",61.5233917872926,5.52026632678102,204219969.363535,1841.81052426044,"Aggregates","Aggregates"
"15","1A",2009,"Arab World",70.1150721876686,3.25700381933786,340421981,5021.78296357342,"Aggregates","Aggregates"
"16","1A",2007,"Arab World",69.6078309495107,3.35954249571425,325643265,4819.26612050528,"Aggregates","Aggregates"
"17","1A",1979,"Arab World",NA,NA,160747822.889378,1942.2944997549,"Aggregates","Aggregates"
"18","1A",1988,"Arab World",62.1715024493689,5.37085756430438,209808992.98112,1728.96715718321,"Aggregates","Aggregates"
"19","1A",1997,"Arab World",66.5146516760591,4.1173869224373,262230608.395,2258.29666994164,"Aggregates","Aggregates"
"20","1A",1961,"Arab World",NA,NA,95588326.4,NA,"Aggregates","Aggregates"
"21","1A",2002,"Arab World",68.3284694501932,3.6521714254444,290899287,2454.41934511385,"Aggregates","Aggregates"
"22","1A",1995,"Arab World",65.7130312094098,4.35852744342933,251610144,2005.12389252865,"Aggregates","Aggregates"
"23","1A",2006,"Arab World",69.3625124685628,3.41088687694534,318257497,4261.51661075981,"Aggregates","Aggregates"
"24","1A",1992,"Arab World",64.3674359203341,4.7960267252554,232730586,1951.12126085816,"Aggregates","Aggregates"
"25","1A",1970,"Arab World",51.4371296057316,6.76072055443853,122458759,318.987082717214,"Aggregates","Aggregates"
"26","1A",1994,"Arab World",65.2425227703221,4.50841057288547,244458524.760958,1922.66776501978,"Aggregates","Aggregates"
"27","1A",1990,"Arab World",63.4501440411488,5.07354290527197,222897615,1933.94384135107,"Aggregates","Aggregates"
"28","1A",1985,"Arab World",60.1507682825506,5.79007893125925,193014511.969484,1940.57110454951,"Aggregates","Aggregates"
"29","1A",1976,"Arab World",NA,NA,145634789.199181,1250.92124870253,"Aggregates","Aggregates"
"30","1A",1977,"Arab World",NA,NA,150458246.832646,1406.14842328602,"Aggregates","Aggregates"
"31","1A",2011,"Arab World",NA,NA,354836030,6768.46729474127,"Aggregates","Aggregates"
"32","1A",1981,"Arab World",57.600686379637,6.17770893911415,171350703.937566,2492.90172538991,"Aggregates","Aggregates"
"33","1A",1971,"Arab World",NA,NA,125879613.397961,359.547967987503,"Aggregates","Aggregates"
"34","1A",1975,"Arab World",54.4656767522404,6.51564656777286,141115867,1046.24465528947,"Aggregates","Aggregates"
"35","1A",1983,"Arab World",58.8018616363617,6.00715888175377,182116682.988628,2059.91248234101,"Aggregates","Aggregates"
"36","1A",2004,"Arab World",68.8775885117952,3.52269162485772,304070902,3083.21663745819,"Aggregates","Aggregates"
"37","1A",1991,"Arab World",63.9646717874672,4.92201152594038,228826030,1852.90911090351,"Aggregates","Aggregates"
"38","1A",1999,"Arab World",67.2912767700485,3.90360706395599,272993468,2300.18528117064,"Aggregates","Aggregates"
"39","1A",1964,"Arab World",NA,NA,103516717.6,NA,"Aggregates","Aggregates"
"40","1A",2003,"Arab World",68.6129915983592,3.58698762110351,297337975,2704.21903499698,"Aggregates","Aggregates"
"41","1A",1993,"Arab World",64.8130128276624,4.64812061855555,238665591.646135,1926.10407003195,"Aggregates","Aggregates"
"42","1A",2005,"Arab World",69.1205634945604,3.46465477793758,311038460,3663.10977949989,"Aggregates","Aggregates"
"43","1A",1982,"Arab World",58.1773771002591,6.09771316993664,176710498.531463,2250.98675807771,"Aggregates","Aggregates"
"44","1A",1962,"Arab World",NA,NA,98125908.8,NA,"Aggregates","Aggregates"
"45","1A",1972,"Arab World",NA,NA,129377591.285716,424.521234116235,"Aggregates","Aggregates"
"46","1A",1974,"Arab World",NA,NA,136916074.397961,964.852298649723,"Aggregates","Aggregates"
"47","1A",1965,"Arab World",48.666088874854,6.91079961972503,106387539,NA,"Aggregates","Aggregates"
"48","1A",2001,"Arab World",68.0093892068276,3.72953645742858,284686659,2473.80135043071,"Aggregates","Aggregates"
"49","1A",2000,"Arab World",67.6588335126841,3.81329475741214,278744935,2595.63472624842,"Aggregates","Aggregates"
"50","1A",1984,"Arab World",59.4633332335156,5.90536673813457,187515172.9404,2023.31334073857,"Aggregates","Aggregates"
"51","1A",1963,"Arab World",NA,NA,100765245.2,NA,"Aggregates","Aggregates"
"52","1A",1973,"Arab World",NA,NA,133024382.285716,522.826653124392,"Aggregates","Aggregates"
"53","1W",2006,"World",68.6025087529949,2.522735491933,6580545179,7520.20234663665,"Aggregates","Aggregates"
"54","1W",1991,"World",65.5585392197922,3.15748736272332,5383011907.44007,4283.09853377174,"Aggregates","Aggregates"
"55","1W",1990,"World",65.3861765237794,3.23560208088683,5296211383,4149.54354985104,"Aggregates","Aggregates"
"56","1W",1999,"World",66.9891255408771,2.70937652043272,6038635375.80191,5186.58014763215,"Aggregates","Aggregates"
"57","1W",1960,"World",52.6170898005929,4.91781694786851,3040197182,443.993410241421,"Aggregates","Aggregates"
"58","1W",1961,"World",NA,NA,3081388863.35126,454.595632083324,"Aggregates","Aggregates"
"59","1W",2007,"World",68.8675160790922,2.50883760352655,6658468720,8379.72207443712,"Aggregates","Aggregates"
"60","1W",2010,"World",69.6398850010426,2.45111122971928,6894377794,9157.60591074924,"Aggregates","Aggregates"
